NAME	control1	control2	control3	control4	CT10A1.A	CT10A2.A	CT10A.B	BRCA1.51	BRCA1.52	BRCA1.53	BRCA1.54	Rad51.41	Rad51.42	Rad51.43	Rad51.44	Brit.2A2	Brit.2B	Brit.2C	Brit.2D
DPYSL3	244.89	236.02	214.97	221.17	226.86	239.76	198.22	125.55	96.55	110.73	117.1	102.84	103.16	94.58	103.49	109.36	111.57	106.37	111.85
DUT	2602.74	2608	2634.5	2516.46	1690.81	1777.48	1539.13	694.49	524.66	620.34	612.13	809.7	752.68	637.53	628.03	664.87	665.18	628.05	676.72
E2F2	1530.3	1419.29	1490.83	1511.36	731.42	731.75	781.46	296.32	248.64	278.13	257.39	228.29	219.93	248.04	254.26	257.82	291.63	309.62	284.71
EFHD2	8961.58	8187.95	8783.32	8961.58	7344.79	7829.47	11885.02	4186.09	3805.63	4020.89	3869.71	3083.66	3133.97	3233.94	3236.15	4031.69	4006.84	4231.28	4079.27
ESCO2	575.99	603.5	470.39	525.11	353.2	430.24	325.65	165.69	149.52	119.22	153.84	125.24	128.98	138.2	108.87	89.23	113.65	103.67	120.03
ESPL1	324.06	320.41	347.01	327.59	335.81	333.33	296.15	134.65	137.27	157.52	143.01	106.7	104.58	103.35	111.91	139.83	162.48	173.97	147.64
EXO1	1413.96	1485.62	1446.86	1302.94	1047.4	1056.39	603.73	405.97	295.25	332.25	320.33	258.92	252.38	283.87	229.2	254.23	250.67	257.16	244.32
FAM134B	149.74	138.82	134.57	132.52	158.58	152.49	141.17	367.95	378.55	372.96	310.28	683.07	665.94	658.2	601.71	539.28	636.66	538.11	549.79
FAM43A	259.93	220.58	252.5	260.64	211.98	219.92	234.5	540.75	619.54	589.93	579.57	482.25	481.91	505.78	474.98	508.79	509.69	493.47	487.81
FAM81A	234.62	244.81	189.36	200.07	122.64	135.52	139.77	80.96	81.03	71.5	73.53	88.81	67.18	70.06	83.54	73.47	76.57	85.35	68.96
FAM83D	2071.48	2195.32	2072.78	2096.06	2365.2	2324.81	1555.08	808.77	673.44	812.7	805.1	863.38	812.7	784.99	791.93	718.07	681.77	803.7	789.69
FANCI	2296.28	2325.08	2192.14	2221.01	1622.44	1735.05	1363.94	741.47	700.29	678.72	732.53	524.94	545.44	455.86	480.5	527.85	531.35	531.89	587.41
FBLN1	256.46	273.95	317.86	297.93	243.24	196.84	183.52	721.75	759.44	732.94	719.33	573.4	496.25	491.22	449.18	922.78	851.75	935.15	877.54
FDPS	1075.36	1089.66	951.39	933.99	599.25	784.38	975.3	326.53	350.58	305.89	312.04	398.71	365.45	348.35	320.49	408.02	295.11	308.58	321.59
FEN1	831.2	968.6	811.02	911.15	541.36	543.23	340.84	258.03	231.41	228.54	228.05	192.03	176.29	159.39	189.29	149.29	146.91	138.38	149.73
FHOD3	1180.19	1047.5	1171.77	1158.29	466.64	449.52	609.56	190.99	184.36	180.81	185.71	244.76	256.4	239.93	254.88	207.56	286.01	277.57	227.7
FLRT3	5774.37	5213.82	5213.82	4986.06	6231.74	6041.77	3492.39	15527.09	15873.85	15873.85	16466.23	21034.31	18999.59	16293.08	17427.05	10909.82	11724.55	10270.9	11372.52
FOXO3	896.84	931.7	1079.68	1026.69	1054.53	943.1	824.54	2118.99	2045.58	2219.87	2130.6	2622.47	2312.49	2091.82	2856.42	2171.13	2187.64	2164.07	2244.2
FXYD3	763.84	712.29	653.07	717.93	400.36	411.43	455.77	1163.13	1285.15	1220.07	1116.32	2464.09	2557.78	2605.77	2359.2	1581.13	1304.35	1270.72	1358.05
GEMIN6	2133.23	2132.21	1796.1	1862.35	1735.05	1733.32	1422.63	815.78	862.95	864.86	851.76	715.04	876.41	990.36	868.05	907.05	767.44	816.46	839.74
GINS2	5029.02	5035.46	4769.18	4495.94	3977.98	4035.17	3252.35	1250.2	1066.16	1282.02	1036.12	641.71	592.41	594.51	553.74	941.08	880.7	806.29	858.82
